,red,blue,actual,ai,ai_err,bookies,bookies_err,delta
223,Cezar Ferreira,Jack Hermansson,1,0.16018615663051605,0.839813843369484,0.4761904761904761,0.523809523809524,0.3160043195599601
224,Thiago Santos,Jack Hermansson,1,0.00010390393435955048,0.9998960960656404,0.5238095238095238,0.4761904761904762,0.5237056198751643
225,Greg Hardy,Dmitrii Smoliakov,1,0.38566708564758295,0.614332914352417,0.7435897435897436,0.2564102564102564,0.35792265794216066
226,Santiago Ponzinibbio,Mike Perry,1,0.0543157234787941,0.9456842765212059,0.6078431372549019,0.3921568627450981,0.5535274137761078
227,Alistair Overeem,Aleksei Oleinik,1,0.06786015629768373,0.9321398437023164,0.7101449275362319,0.2898550724637681,0.6422847712385482
228,Alistair Overeem,Andrei Arlovski,1,0.2255887091159821,0.7744112908840179,0.7058823529411765,0.2941176470588235,0.4802936438251944
229,Alistair Overeem,Mark Hunt,1,0.10739001631736757,0.8926099836826324,0.5652173913043478,0.4347826086956522,0.4578273749869802
230,Alistair Overeem,Stefan Struve,1,0.03608682751655578,0.9639131724834442,0.6666666666666665,0.3333333333333335,0.6305798391501107
231,Shamil Abdurakhimov,Walt Harris,1,0.003680106485262513,0.9963198935147376,0.5918367346938775,0.4081632653061225,0.5881566282086149
232,Dustin Poirier,Anthony Pettis,1,0.010750561952590942,0.9892494380474092,0.5238095238095238,0.4761904761904762,0.5130589618569329
233,Dustin Poirier,Bobby Green,1,0.10332992672920227,0.8966700732707977,0.6491228070175439,0.3508771929824561,0.5457928802883416
235,Dustin Poirier,Yancy Medeiros,1,0.33999672532081604,0.660003274679184,0.7142857142857143,0.2857142857142857,0.3742889889648983
236,Israel Adesanya,Anderson Silva,1,3.847016705549322e-05,0.9999615298329444,0.8373983739837398,0.16260162601626016,0.8373599038166843
237,Curtis Millender,Max Griffin,1,0.19011451303958893,0.8098854869604111,0.6296296296296297,0.3703703703703704,0.4395151165900407
238,Thiago Alves,Max Griffin,1,2.691522240638733e-05,0.9999730847775936,0.3846153846153847,0.6153846153846153,0.3845884693929783
239,Kyle Bochniak,Brandon Davis,1,1.1269449942119536e-06,0.9999988730550058,0.4545454545454545,0.5454545454545455,0.4545443276004602
240,Michelle Waterson,Felice Herrig,1,0.30583062767982483,0.6941693723201752,0.4651162790697674,0.5348837209302326,0.15928565138994255
241,Rose Namajunas,Michelle Waterson,1,0.0275966115295887,0.9724033884704112,0.4761904761904761,0.523809523809524,0.4485938646608874
