First,Last,Nickname,Stance,Win,Loss,Draw,Total Fights,Weight_numeric,Height_cm
Chris,Cariaso,Kamikaze,Southpaw,17,8,0,25,125,160.02
Tim,Elliott,,Southpaw,16,8,1,25,135,170.18
Cole,Escovedo,Apache Kid,Orthodox,17,8,0,25,135,170.18
Patricky,Freire,Pitbull,,17,8,0,25,155,170.18
Terrion,Ware,Flash,Orthodox,17,8,0,25,135,172.72
Rafael,Dias,,Orthodox,15,8,2,25,145,175.26
CJ,Fernandes,,,14,8,3,25,170,187.96
Stephan,Bonnar,The American Psycho,Orthodox,17,8,0,25,205,193.04
David,Bielkheden,,Orthodox,16,9,0,25,155,177.8
TJ,Waldburger,The Modern Day Warrior,Orthodox,16,9,0,25,170,180.34
Eugene,Jackson,The Wolf,Orthodox,15,9,1,25,185,172.72
Anthony,Njokuani,The Assassin,Orthodox,16,9,0,25,155,185.42
Eric,Esch,Butterbean,Orthodox,14,10,1,25,300,180.34
Lisa,Ellis,,,15,10,0,25,115,162.56
Shayna,Baszler,The Queen of Spades,Orthodox,15,10,0,25,135,170.18
Luiz,Azeredo,,Orthodox,15,10,0,25,154,175.26
Alex,Schoenauer,,Orthodox,15,10,0,25,185,190.5
Anthony,Perosh,The Hippo,Orthodox,15,10,0,25,205,190.5
Alex,Caceres,Bruce Leeroy,Southpaw,14,11,0,25,145,177.8
Josh,Haynes,Bring the Pain,Orthodox,14,11,0,25,170,175.26
Dennis,Olson,,,14,11,0,25,170,182.88
Chris,Guillen,,Orthodox,13,12,0,25,265,182.88
Maurice,Smith,,Orthodox,12,13,0,25,265,187.96
Josh,Bennett,,Orthodox,12,13,0,25,265,193.04
Hiroyuki,Abe,Abe Ani,Orthodox,8,14,3,25,145,167.64000000000001
Brad,Kohler,,Orthodox,11,14,0,25,265,175.26
Khabib,Nurmagomedov,The Eagle,Orthodox,26,0,0,26,155,177.8
Ronys,Torres,,Orthodox,22,4,0,26,155,170.18
David,Branch,,Orthodox,22,4,0,26,185,185.42
Fabricio,Guerreiro,,,21,5,0,26,145,177.8
TJ,Grant,,Orthodox,21,5,0,26,155,177.8
Jussier,Formiga,Formiga,Orthodox,21,5,0,26,125,165.1
Marloes,Coenen,,,21,5,0,26,145,175.26
Nikita,Krylov,The Miner,Orthodox,21,5,0,26,205,190.5
Jessica,Aguilar,Jag,Orthodox,20,6,0,26,115,160.02
Evan,Dunham,,Southpaw,18,7,1,26,155,177.8
Viscardi,Andrade,,Orthodox,19,7,0,26,170,180.34
Court,McGee,The Crusher,Orthodox,19,7,0,26,170,180.34
Dustin,Ortiz,,Orthodox,19,7,0,26,125,165.1
Kalindra,Faria,,Switch,18,7,1,26,125,170.18
Riki,Fukuda,,Southpaw,19,7,0,26,185,182.88
Francimar,Barroso,Bodao,Orthodox,19,7,0,26,205,185.42
Forrest,Griffin,,Orthodox,19,7,0,26,205,190.5
Travis,Browne,Hapa,Orthodox,18,7,1,26,265,198.12
Hitomi,Akano,Girlfight Monster,Southpaw,18,8,0,26,135,162.56
Alexandre,Barros,Baixinho,Southpaw,18,8,0,26,170,175.26
Johny,Hendricks,Bigg Rigg,Southpaw,18,8,0,26,185,175.26
Dylan,Andrews,The Villain,Switch,18,8,0,26,185,185.42
Art,Santore,Pachuco,,18,8,0,26,185,187.96
Dennis,Bermudez,The Menace,Orthodox,17,9,0,26,145,167.64000000000001
Edson,Berto,Little Tiger,Orthodox,16,9,1,26,155,167.64000000000001
Nick,Gonzalez,The Ghost,Orthodox,17,9,0,26,155,167.64000000000001
Jorge,Ortiz,The Naked Man,Orthodox,16,9,1,26,185,182.88
Scott,Smith,Hands of Steel,Orthodox,17,9,0,26,185,182.88
Tom,Watson,Kong,Orthodox,17,9,0,26,185,185.42
Sean,O'Connell,The Real OC,Orthodox,17,9,0,26,205,185.42
Dan,Bobish,,Southpaw,17,9,0,26,300,187.96
Luciano,Azevedo,,Orthodox,16,9,1,26,161,190.5
Anthony,Morrison,Cheesesteak,Orthodox,16,10,0,26,145,170.18
Levi,Avera,,,16,10,0,26,170,185.42
Mark,Coleman,The Hammer,Orthodox,16,10,0,26,205,185.42
Gian,Villante,,Orthodox,16,10,0,26,205,190.5
Kazuhiro,Nakamura,Kaz,Orthodox,15,11,0,26,205,180.34
Vaughan,Lee,,Orthodox,14,11,1,26,125,167.64000000000001
Branden Lee,Hinkle,The Iron Lion,Orthodox,15,11,0,26,265,190.5
Mark,Kerr,The Smashing Machine,Switch,15,11,0,26,300,190.5
Mark,Hunt,Super Samoan,Orthodox,13,12,1,26,265,177.8
Anatoly,Tokov,,,25,2,0,27,185,177.8
Michel,Prazeres,Tractor,Orthodox,25,2,0,27,170,167.64000000000001
Douglas,Silva de Andrade,D Silva,Orthodox,25,2,0,27,135,170.18
Tony,Ferguson,El Cucuy,Orthodox,24,3,0,27,155,180.34
Dong Hyun,Kim,Stun Gun,Southpaw,22,4,1,27,170,187.96
Marlon,Moraes,Magic,Orthodox,21,5,1,27,135,167.64000000000001
Roger,Huerta,El Matador,Orthodox,21,5,1,27,155,175.26
Rick,Glenn,The Gladiator,Southpaw,21,5,1,27,145,182.88
Soa,Palelei,The Hulk,Orthodox,22,5,0,27,265,193.04
Frank,Camacho,The Crank,Orthodox,21,6,0,27,170,177.8
Sherron,Leggett,Rob Roy,Southpaw,21,6,0,27,155,172.72
Marcos,Vinicius,Vina,Orthodox,20,6,1,27,125,175.26
Zak,Cummings,,Southpaw,21,6,0,27,170,182.88
Julian,Erosa,Juicy J,Southpaw,21,6,0,27,145,185.42
Dave,Herman,,Orthodox,21,6,0,27,265,193.04
Kiichi,Kunimoto,Strasser,Orthodox,18,7,2,27,170,177.8
Ian,Freeman,The Machine,Orthodox,19,7,1,27,265,180.34
Antonio,Banuelos,,Orthodox,19,7,1,27,135,165.1
Kotetsu,Boku,,Orthodox,18,7,2,27,154,175.26
Martin,Kampmann,The Hitman,Orthodox,20,7,0,27,170,182.88
