,red,blue,actual,ai,ai_err,bookies,bookies_err
943,Jon Fitch,Johny Hendricks,0,0.9958301186561584,0.9958301186561584,0.6923076923076923,0.6923076923076923
946,Miesha Tate,Sara McMann,1,0.00014620777801610532,0.999853792221984,0.37735849056603776,0.6226415094339622
947,Ramsey Nijem,James Vick,0,0.9977983236312866,0.9977983236312866,0.6551724137931035,0.6551724137931035
958,Daniel Kelly,Chris Camozzi,1,0.012858080677688122,0.987141919322312,0.37735849056603776,0.6226415094339622
960,Rampage Jackson,Ryan Bader,0,0.8510811924934387,0.8510811924934387,0.5918367346938775,0.5918367346938775
969,Francimar Barroso,Hans Stringer,0,0.7587006092071533,0.7587006092071533,0.5744680851063829,0.5744680851063829
971,Artem Lobov,Teruto Ishihara,1,0.13120517134666446,0.8687948286533356,0.3125,0.6875
986,James Te Huna,Nate Marquardt,0,0.993327260017395,0.993327260017395,0.6666666666666665,0.6666666666666665
987,Nate Marquardt,Tamdan McCrory,1,0.05862399935722351,0.9413760006427764,0.4166666666666667,0.5833333333333333
1011,Felipe Arantes,Kevin Souza,0,0.7184828519821167,0.7184828519821167,0.7333333333333333,0.7333333333333333
1013,Dan Henderson,Hector Lombard,1,0.38566708564758295,0.614332914352417,0.273972602739726,0.726027397260274
1020,Kevin Casey,Ildemar Alcantara,1,2.61543590340807e-07,0.9999997384564095,0.4545454545454545,0.5454545454545455
1025,Rick Story,Martin Kampmann,0,0.9999666213989258,0.9999666213989258,0.5238095238095238,0.5238095238095238
1026,Chris Camozzi,Bruno Santos,0,0.5956437587738037,0.5956437587738037,0.7058823529411765,0.7058823529411765
1031,Luiz Cane,Chris Camozzi,0,0.604347288608551,0.604347288608551,0.5918367346938775,0.5918367346938775
1036,Paulo Thiago,Siyar Bahadurzada,0,0.9927089214324952,0.9927089214324952,0.6,0.6
1039,Mickael Lebout,Teemu Packalen,1,0.009200689382851124,0.9907993106171488,0.4545454545454545,0.5454545454545455
1049,Abel Trujillo,Tony Sims,1,6.334974500532553e-07,0.99999936650255,0.425531914893617,0.5744680851063829
1050,Jamie Varner,Abel Trujillo,0,0.9757280349731444,0.9757280349731444,0.5348837209302325,0.5348837209302325
1051,Marcus LeVesseur,Abel Trujillo,0,0.9976984858512878,0.9976984858512878,0.5833333333333334,0.5833333333333334
1054,Miguel Torres,Michael McDonald,0,0.9994508624076844,0.9994508624076844,0.5121951219512195,0.5121951219512195
1068,Kyle Noke,Andrew Craig,0,0.9761566519737244,0.9761566519737244,0.7183098591549296,0.7183098591549296
1071,Kazuki Tokudome,Johnny Case,0,0.9605507850646972,0.9605507850646972,0.5652173913043478,0.5652173913043478
1072,Viscardi Andrade,Gasan Umalatov,1,0.02871856652200222,0.9712814334779978,0.4761904761904761,0.523809523809524
1074,Neil Seery,Chris Beal,1,0.00415695458650589,0.995843045413494,0.3597122302158273,0.6402877697841727
1079,Vitor Miranda,Clint Hester,1,0.07335299253463745,0.9266470074653624,0.4545454545454545,0.5454545454545455
1082,Daniel Pineda,Rob Whiteford,0,0.8639404773712158,0.8639404773712158,0.6774193548387096,0.6774193548387096
1092,John Howard,Brian Ebersole,0,0.9977772831916808,0.9977772831916808,0.7058823529411765,0.7058823529411765
1112,Ron Stallings,Justin Jones,1,0.0682799220085144,0.9317200779914856,0.3846153846153847,0.6153846153846153
1113,Erick Silva,Carlo Prater,0,0.8562960028648376,0.8562960028648376,0.8412698412698413,0.8412698412698413
1120,Roman Salazar,Norifumi Yamamoto,1,0.229034885764122,0.770965114235878,0.425531914893617,0.5744680851063829
1125,Ildemar Alcantara,Igor Araujo,0,0.9999934434890748,0.9999934434890748,0.7752808988764045,0.7752808988764045
1132,KJ Noons,Daron Cruickshank,1,0.006637467537075281,0.9933625324629248,0.3333333333333333,0.6666666666666667
1133,Sam Stout,KJ Noons,0,0.9999997615814208,0.9999997615814208,0.5121951219512195,0.5121951219512195
1137,Yves Edwards,Isaac Vallie-Flagg,0,0.9947545528411864,0.9947545528411864,0.6825396825396826,0.6825396825396826
