red,blue,actual,ai,ai_err,bookies,bookies_err
Beneil Dariush,James Vick,1,0.9976009726524353,0.0023990273475646973,0.5833333333333334,0.41666666666666663
Beneil Dariush,Rashid Magomedov,1,0.9964145421981812,0.0035854578018188477,0.5348837209302325,0.4651162790697675
Beneil Dariush,Thiago Moises,1,0.4910522401332855,0.5089477598667145,0.6153846153846154,0.3846153846153846
Diego Ferreira,Beneil Dariush,0,0.6561274528503418,0.6561274528503418,0.7101449275362319,0.7101449275362319
Edson Barboza,Beneil Dariush,1,0.16413234174251556,0.8358676582574844,0.6153846153846154,0.3846153846153846
Muslim Salikhov,Laureano Staropoli,1,0.0005632384563796222,0.9994367615436204,0.6226415094339622,0.37735849056603776
Muslim Salikhov,Ricky Rainey,1,0.6432362794876099,0.35676372051239014,0.6774193548387096,0.32258064516129037
Randa Markos,Angela Hill,1,0.0007187896990217268,0.9992812103009783,0.425531914893617,0.574468085106383
Randa Markos,Ashley Yoder,1,1.5104104988949985e-07,0.9999998489589501,0.6,0.4
Randa Markos,Jocelyn Jones-Lybarger,1,0.9326657056808472,0.06733429431915283,0.5348837209302325,0.4651162790697675
Randa Markos,Juliana Lima,1,0.003817546647042036,0.996182453352958,0.6078431372549019,0.3921568627450981
Magomed Mustafaev,Rafael Fiziev,1,0.385667085647583,0.614332914352417,0.4545454545454545,0.5454545454545455
Dominick Reyes,Chris Weidman,1,0.385667085647583,0.614332914352417,0.6666666666666665,0.3333333333333335
Jim Miller,Joe Lauzon,1,0.03274328634142876,0.9672567136585712,0.6491228070175439,0.3508771929824561
Joe Lauzon,Jim Miller,0,0.02004663646221161,0.02004663646221161,0.5833333333333334,0.5833333333333334
Joe Lauzon,Jonathan Pearce,1,0.9999932050704956,6.794929504394531e-06,0.3703703703703704,0.6296296296296295
Joe Lauzon,Marcin Held,1,0.6145063638687134,0.3854936361312866,0.5833333333333334,0.41666666666666663
Joe Lauzon,Michael Johnson,0,0.7074718475341797,0.7074718475341797,0.7101449275362319,0.7101449275362319
Molly McCann,Diana Belbita,1,0.12052090466022491,0.8794790953397751,0.8648648648648648,0.1351351351351352
Molly McCann,Priscila Cachoeira,1,0.998513400554657,0.0014865994453430176,0.6363636363636364,0.36363636363636365
Joanna Jedrzejczyk,Jessica Andrade,1,0.9868795275688171,0.013120472431182861,0.6551724137931035,0.34482758620689646
Joanna Jedrzejczyk,Karolina Kowalkiewicz,1,0.9946041703224182,0.005395829677581787,0.8,0.19999999999999996
Joanna Jedrzejczyk,Michelle Waterson,1,0.5522865653038025,0.4477134346961975,0.75,0.25
Joanna Jedrzejczyk,Tecia Torres,1,0.9296503663063049,0.07034963369369507,0.7619047619047619,0.23809523809523814
Joanna Jedrzejczyk,Valerie Letourneau,1,0.7986336946487427,0.20136630535125732,0.9333333333333332,0.06666666666666676
Juliana Lima,Joanna Jedrzejczyk,0,7.141416631384345e-07,7.141416631384345e-07,0.2597402597402597,0.2597402597402597
Valentina Shevchenko,Joanna Jedrzejczyk,1,0.012485801242291927,0.9875141987577081,0.75,0.25
Abdul Razak Alhassan,Niko Price,1,0.0766238123178482,0.9233761876821518,0.5238095238095238,0.47619047619047616
Alex Morono,Niko Price,1,0.39525026082992554,0.6047497391700745,0.5121951219512195,0.4878048780487805
Geoff Neal,Niko Price,1,0.8619462847709656,0.13805371522903442,0.7701149425287356,0.22988505747126442
Niko Price,George Sullivan,1,0.012958468869328499,0.9870415311306715,0.7849462365591396,0.21505376344086036
Niko Price,James Vick,1,0.4898318648338318,0.5101681351661682,0.5918367346938775,0.40816326530612246
Vicente Luque,Niko Price,1,0.5610854029655457,0.43891459703445435,0.5652173913043478,0.4347826086956522
Matt Frevola,Lando Vannata,1,0.6537168622016907,0.3462831377983093,0.3333333333333333,0.6666666666666667
Matt Frevola,Luis Pena,1,4.8172093869425225e-08,0.9999999518279061,0.43478260869565216,0.5652173913043479
Elias Theodorou,Eryk Anders,1,0.7376360297203064,0.2623639702796936,0.5555555555555556,0.4444444444444444
Eryk Anders,Gerald Meerschaert,1,0.00015612402057740837,0.9998438759794226,0.5833333333333334,0.41666666666666663
Eryk Anders,Markus Perez,1,0.376028835773468,0.623971164226532,0.8245614035087719,0.17543859649122806
Eryk Anders,Tim Williams,1,0.9477812647819519,0.052218735218048096,0.923076923076923,0.07692307692307698
Lyoto Machida,Eryk Anders,1,0.14808541536331177,0.8519145846366882,0.3278688524590164,0.6721311475409836
Thiago Santos,Eryk Anders,1,0.6769862174987793,0.3230137825012207,0.6666666666666665,0.3333333333333335
Ryan Spann,Devin Clark,1,0.385667085647583,0.614332914352417,0.6363636363636364,0.36363636363636365
Alex Morono,Niko Price,1,0.9634944796562195,0.03650552034378052,0.5121951219512195,0.4878048780487805
Alex Morono,Zak Ottow,1,0.9491614103317261,0.050838589668273926,0.6363636363636364,0.36363636363636365
Jordan Mein,Alex Morono,1,0.9927781224250793,0.007221877574920654,0.6,0.4
Keita Nakamura,Alex Morono,1,0.8647845983505249,0.1352154016494751,0.5238095238095238,0.47619047619047616
Antonio Carlos Junior,Marvin Vettori,1,6.020843648002483e-05,0.99993979156352,0.5454545454545454,0.4545454545454546
Israel Adesanya,Marvin Vettori,1,0.9946278929710388,0.005372107028961182,0.7101449275362319,0.28985507246376807
Marvin Vettori,Andrew Sanchez,1,0.9994683861732483,0.000531613826751709,0.7872340425531915,0.21276595744680848
Marvin Vettori,Cezar Ferreira,1,0.18135614693164825,0.8186438530683517,0.6875,0.3125
Marvin Vettori,Omari Akhmedov,1,0.6704145669937134,0.3295854330062866,0.7297297297297297,0.2702702702702703
JJ Aldrich,Lauren Mueller,1,0.8888434171676636,0.11115658283233643,0.6,0.4
Juliana Lima,JJ Aldrich,1,0.9999487400054932,5.125999450683594e-05,0.696969696969697,0.303030303030303
Maycee Barber,JJ Aldrich,1,0.9999853372573853,1.4662742614746094e-05,0.7333333333333333,0.2666666666666667
Jared Cannonier,Anderson Silva,1,0.6237761378288269,0.3762238621711731,0.5744680851063829,0.4255319148936171
Jared Cannonier,Cyril Asker,1,0.9961658716201782,0.0038341283798217773,0.5744680851063829,0.4255319148936171
Shawn Jordan,Jared Cannonier,1,0.001580091891810298,0.9984199081081897,0.6491228070175439,0.3508771929824561
Gian Villante,Ovince Saint Preux,0,0.30289605259895325,0.30289605259895325,0.425531914893617,0.425531914893617
Glover Teixeira,Ovince Saint Preux,1,0.0012441277503967285,0.9987558722496033,0.4545454545454545,0.5454545454545455
Jon Jones,Ovince Saint Preux,1,0.9918467998504639,0.008153200149536133,0.878048780487805,0.12195121951219501
Ovince Saint Preux,Corey Anderson,1,1.9459268514765427e-05,0.9999805407314852,0.6363636363636364,0.36363636363636365
Ovince Saint Preux,Patrick Cummins,1,0.016699939966201782,0.9833000600337982,0.5121951219512195,0.4878048780487805
Ovince Saint Preux,Rafael Feijao,1,0.3625414967536926,0.6374585032463074,0.8076923076923077,0.1923076923076923
Ovince Saint Preux,Tyson Pedro,1,3.51330018020235e-05,0.999964866998198,0.4444444444444444,0.5555555555555556
Ovince Saint Preux,Yushin Okami,1,8.168465865310282e-05,0.9999183153413469,0.8113207547169812,0.18867924528301883
Dan Hooker,Marc Diakiese,1,0.9051628708839417,0.09483712911605835,0.37735849056603776,0.6226415094339622
Marc Diakiese,Lando Vannata,1,0.8481366038322449,0.15186339616775513,0.6226415094339622,0.37735849056603776
Nasrat Haqparast,Marc Diakiese,1,0.9570282101631165,0.042971789836883545,0.4166666666666667,0.5833333333333333
Luis Pena,Steven Peterson,1,0.385667085647583,0.614332914352417,0.6923076923076923,0.3076923076923077
Diego Ferreira,Kyle Nelson,1,0.385667085647583,0.614332914352417,0.8461538461538461,0.15384615384615385
Dustin Poirier,Justin Gaethje,1,0.9999997615814209,2.384185791015625e-07,0.5555555555555556,0.4444444444444444
Eddie Alvarez,Justin Gaethje,1,0.9999996423721313,3.5762786865234375e-07,0.4,0.6
Justin Gaethje,James Vick,1,0.003108537057414651,0.9968914629425853,0.4545454545454545,0.5454545454545455
Glover Teixeira,Ion Cutelaba,1,0.9998433589935303,0.00015664100646972656,0.5454545454545454,0.4545454545454546
Glover Teixeira,Misha Cirkunov,1,0.918732762336731,0.08126723766326904,0.4444444444444444,0.5555555555555556
Glover Teixeira,Nikita Krylov,1,0.9987795352935791,0.0012204647064208984,0.5348837209302325,0.4651162790697675
